iso_code,country,date,yougov_government_handling
AUS,Australia,2020-03-15,63
AUS,Australia,2020-03-22,66
AUS,Australia,2020-03-29,64
AUS,Australia,2020-04-05,76
AUS,Australia,2020-04-12,82
AUS,Australia,2020-04-19,86
AUS,Australia,2020-04-26,87
AUS,Australia,2020-05-03,89
AUS,Australia,2020-05-11,87
AUS,Australia,2020-05-18,86
AUS,Australia,2020-05-25,87
AUS,Australia,2020-06-01,88
AUS,Australia,2020-06-08,86
AUS,Australia,2020-06-15,88
AUS,Australia,2020-06-22,87
AUS,Australia,2020-06-29,83
AUS,Australia,2020-08-16,79
CAN,Canada,2020-03-17,63
CAN,Canada,2020-03-23,78
CAN,Canada,2020-03-30,80
CAN,Canada,2020-04-06,79
CAN,Canada,2020-04-13,76
CAN,Canada,2020-04-20,80
CAN,Canada,2020-04-27,80
CAN,Canada,2020-05-12,78
CAN,Canada,2020-05-19,78
CAN,Canada,2020-05-26,76
CAN,Canada,2020-06-02,77
CAN,Canada,2020-06-09,79
CAN,Canada,2020-06-16,78
CAN,Canada,2020-06-23,79
CAN,Canada,2020-06-30,80
CAN,Canada,2020-07-21,77
CAN,Canada,2020-08-04,75
CAN,Canada,2020-08-19,74
CAN,Canada,2020-09-01,75
DEU,Germany,2020-03-16,51
DEU,Germany,2020-03-23,62
DEU,Germany,2020-03-30,70
DEU,Germany,2020-04-06,71
DEU,Germany,2020-04-13,72
DEU,Germany,2020-04-20,72
DEU,Germany,2020-04-27,70
DEU,Germany,2020-05-04,70
DEU,Germany,2020-05-11,68
DEU,Germany,2020-05-19,69
DEU,Germany,2020-05-26,68
DEU,Germany,2020-06-02,70
DEU,Germany,2020-06-09,70
DEU,Germany,2020-06-16,70
DEU,Germany,2020-06-23,71
DEU,Germany,2020-06-30,69
DEU,Germany,2020-07-06,72
DEU,Germany,2020-07-13,74
DEU,Germany,2020-07-18,74
DEU,Germany,2020-07-25,73
DEU,Germany,2020-08-01,71
DEU,Germany,2020-08-08,67
DEU,Germany,2020-08-15,70
DEU,Germany,2020-09-24,63
DNK,Denmark,2020-03-16,86
DNK,Denmark,2020-03-23,84
DNK,Denmark,2020-03-29,84
DNK,Denmark,2020-04-05,86
DNK,Denmark,2020-04-12,81
DNK,Denmark,2020-04-19,88
DNK,Denmark,2020-04-26,82
DNK,Denmark,2020-05-03,80
DNK,Denmark,2020-05-11,83
DNK,Denmark,2020-05-15,84
DNK,Denmark,2020-05-22,84
DNK,Denmark,2020-05-28,85
DNK,Denmark,2020-06-04,82
DNK,Denmark,2020-06-11,86
DNK,Denmark,2020-06-18,83
DNK,Denmark,2020-06-25,82
DNK,Denmark,2020-09-13,80
DNK,Denmark,2020-09-23,74
ESP,Spain,2020-03-12,35
ESP,Spain,2020-03-19,42
ESP,Spain,2020-03-25,38
ESP,Spain,2020-04-02,36
ESP,Spain,2020-04-08,42
ESP,Spain,2020-04-16,38
ESP,Spain,2020-04-23,38
ESP,Spain,2020-04-30,42
ESP,Spain,2020-05-07,43
ESP,Spain,2020-05-14,42
ESP,Spain,2020-05-21,44
ESP,Spain,2020-05-28,46
ESP,Spain,2020-06-04,47
ESP,Spain,2020-06-11,48
ESP,Spain,2020-06-18,50
ESP,Spain,2020-06-25,45
ESP,Spain,2020-09-04,36
ESP,Spain,2020-09-17,33
ESP,Spain,2020-09-23,30
ESP,Spain,2020-09-30,33
FIN,Finland,2020-03-16,57
FIN,Finland,2020-03-23,79
FIN,Finland,2020-03-29,71
FIN,Finland,2020-04-05,81
FIN,Finland,2020-04-12,74
FIN,Finland,2020-04-19,73
FIN,Finland,2020-04-26,73
FIN,Finland,2020-05-03,83
FIN,Finland,2020-05-11,76
FIN,Finland,2020-05-15,73
FIN,Finland,2020-05-22,74
FIN,Finland,2020-05-28,79
FIN,Finland,2020-06-04,77
FIN,Finland,2020-06-11,81
FIN,Finland,2020-06-18,84
FIN,Finland,2020-06-25,83
FIN,Finland,2020-09-20,69
FRA,France,2020-03-13,48
FRA,France,2020-03-20,54
FRA,France,2020-03-27,36
FRA,France,2020-04-03,40
FRA,France,2020-04-10,37
FRA,France,2020-04-17,38
FRA,France,2020-04-24,38
FRA,France,2020-05-01,34
FRA,France,2020-05-08,33
FRA,France,2020-05-15,34
FRA,France,2020-05-22,37
FRA,France,2020-05-29,42
FRA,France,2020-06-05,43
FRA,France,2020-06-12,48
FRA,France,2020-06-19,41
FRA,France,2020-06-26,38
FRA,France,2020-07-08,43
FRA,France,2020-07-15,39
FRA,France,2020-07-22,42
FRA,France,2020-07-29,36
FRA,France,2020-08-07,38
FRA,France,2020-08-12,38
FRA,France,2020-08-19,37
FRA,France,2020-08-26,34
FRA,France,2020-09-02,38
FRA,France,2020-09-10,37
FRA,France,2020-09-22,32
GBR,United Kingdom,2020-03-13,55
GBR,United Kingdom,2020-03-20,59
GBR,United Kingdom,2020-03-27,72
GBR,United Kingdom,2020-04-03,64
GBR,United Kingdom,2020-04-14,68
GBR,United Kingdom,2020-04-17,66
GBR,United Kingdom,2020-04-24,60
GBR,United Kingdom,2020-05-01,58
GBR,United Kingdom,2020-05-08,53
GBR,United Kingdom,2020-05-14,47
GBR,United Kingdom,2020-05-15,46
GBR,United Kingdom,2020-05-22,45
GBR,United Kingdom,2020-05-29,41
GBR,United Kingdom,2020-06-05,39
GBR,United Kingdom,2020-06-12,40
GBR,United Kingdom,2020-06-19,43
GBR,United Kingdom,2020-06-26,44
GBR,United Kingdom,2020-07-02,42
GBR,United Kingdom,2020-07-09,43
GBR,United Kingdom,2020-07-15,41
GBR,United Kingdom,2020-07-22,45
GBR,United Kingdom,2020-07-29,43
GBR,United Kingdom,2020-08-05,40
GBR,United Kingdom,2020-08-12,38
GBR,United Kingdom,2020-08-19,40
GBR,United Kingdom,2020-09-08,37
GBR,United Kingdom,2020-09-16,30
GBR,United Kingdom,2020-09-23,30
GBR,United Kingdom,2020-09-29,31
IDN,Indonesia,2020-05-11,66
IDN,Indonesia,2020-05-18,60
IDN,Indonesia,2020-05-25,50
IDN,Indonesia,2020-06-01,57
IDN,Indonesia,2020-06-08,60
IDN,Indonesia,2020-06-15,57
IDN,Indonesia,2020-06-22,61
IDN,Indonesia,2020-06-29,60
IDN,Indonesia,2020-07-20,58
IDN,Indonesia,2020-08-03,65
IDN,Indonesia,2020-08-17,65
IDN,Indonesia,2020-08-31,66
IDN,Indonesia,2020-09-14,55
IDN,Indonesia,2020-09-28,59
IND,India,2020-03-16,80
IND,India,2020-03-20,87
IND,India,2020-03-27,91
IND,India,2020-04-03,90
IND,India,2020-04-10,92
IND,India,2020-04-17,92
IND,India,2020-04-24,89
IND,India,2020-05-01,90
IND,India,2020-05-08,83
IND,India,2020-05-18,84
IND,India,2020-05-25,78
IND,India,2020-06-01,77
IND,India,2020-06-08,73
IND,India,2020-06-15,68
IND,India,2020-06-22,66
IND,India,2020-06-29,69
IND,India,2020-07-23,69
IND,India,2020-08-02,71
IND,India,2020-08-05,70
IND,India,2020-08-14,77
IND,India,2020-08-21,72
IND,India,2020-09-18,67
IND,India,2020-09-24,71
ITA,Italy,2020-03-11,69
ITA,Italy,2020-03-19,78
ITA,Italy,2020-03-25,71
ITA,Italy,2020-04-02,71
ITA,Italy,2020-04-09,72
ITA,Italy,2020-04-16,68
ITA,Italy,2020-04-23,63
ITA,Italy,2020-04-30,67
ITA,Italy,2020-05-08,65
ITA,Italy,2020-05-15,69
ITA,Italy,2020-05-22,68
ITA,Italy,2020-05-29,66
ITA,Italy,2020-06-03,69
ITA,Italy,2020-06-10,65
ITA,Italy,2020-06-17,65
ITA,Italy,2020-06-24,67
ITA,Italy,2020-08-18,62
ITA,Italy,2020-08-25,61
ITA,Italy,2020-09-01,57
ITA,Italy,2020-09-09,63
ITA,Italy,2020-09-16,60
ITA,Italy,2020-09-22,66
ITA,Italy,2020-09-29,68
JPN,Japan,2020-03-17,43
JPN,Japan,2020-03-24,46
JPN,Japan,2020-03-30,39
JPN,Japan,2020-04-06,31
JPN,Japan,2020-04-13,39
JPN,Japan,2020-04-20,37
JPN,Japan,2020-04-27,39
JPN,Japan,2020-05-04,42
MEX,Mexico,2020-03-17,33
MEX,Mexico,2020-03-23,35
MEX,Mexico,2020-03-30,43
MEX,Mexico,2020-04-06,46
MEX,Mexico,2020-04-13,48
MEX,Mexico,2020-04-20,50
MEX,Mexico,2020-04-27,54
MEX,Mexico,2020-05-12,47
MEX,Mexico,2020-05-19,44
MEX,Mexico,2020-05-26,41
MEX,Mexico,2020-06-02,40
MEX,Mexico,2020-06-09,36
MEX,Mexico,2020-06-16,37
MEX,Mexico,2020-06-23,31
MEX,Mexico,2020-06-30,35
MYS,Malaysia,2020-05-11,93
MYS,Malaysia,2020-05-18,92
MYS,Malaysia,2020-05-25,92
MYS,Malaysia,2020-06-01,93
MYS,Malaysia,2020-06-08,94
MYS,Malaysia,2020-06-15,95
MYS,Malaysia,2020-06-22,96
MYS,Malaysia,2020-06-29,95
MYS,Malaysia,2020-07-20,93
MYS,Malaysia,2020-08-03,92
MYS,Malaysia,2020-08-17,92
MYS,Malaysia,2020-08-31,93
MYS,Malaysia,2020-09-14,91
MYS,Malaysia,2020-09-28,90
NOR,Norway,2020-03-16,42
NOR,Norway,2020-03-23,70
NOR,Norway,2020-03-29,74
NOR,Norway,2020-04-05,85
NOR,Norway,2020-04-12,81
NOR,Norway,2020-04-19,79
NOR,Norway,2020-04-26,79
NOR,Norway,2020-05-03,83
NOR,Norway,2020-05-15,82
NOR,Norway,2020-05-22,81
NOR,Norway,2020-05-29,82
NOR,Norway,2020-06-05,84
NOR,Norway,2020-06-12,81
NOR,Norway,2020-06-19,82
NOR,Norway,2020-06-26,79
NOR,Norway,2020-09-14,75
NOR,Norway,2020-09-27,77
PHL,Philippines,2020-05-11,72
PHL,Philippines,2020-05-18,74
PHL,Philippines,2020-05-25,64
PHL,Philippines,2020-06-01,64
PHL,Philippines,2020-06-08,62
PHL,Philippines,2020-06-15,58
PHL,Philippines,2020-06-22,59
PHL,Philippines,2020-06-29,51
PHL,Philippines,2020-07-20,52
PHL,Philippines,2020-08-03,55
PHL,Philippines,2020-08-17,55
PHL,Philippines,2020-08-31,52
PHL,Philippines,2020-09-14,56
PHL,Philippines,2020-09-28,57
POL,Poland,2020-05-12,39
POL,Poland,2020-05-19,45
POL,Poland,2020-05-26,42
POL,Poland,2020-06-02,44
POL,Poland,2020-06-09,44
POL,Poland,2020-06-16,38
POL,Poland,2020-06-23,36
POL,Poland,2020-06-30,40
SGP,Singapore,2020-05-08,74
SGP,Singapore,2020-05-15,77
SGP,Singapore,2020-05-22,80
SGP,Singapore,2020-05-29,79
SGP,Singapore,2020-06-05,81
SGP,Singapore,2020-06-12,81
SGP,Singapore,2020-06-19,81
SGP,Singapore,2020-06-26,82
SGP,Singapore,2020-07-20,70
SGP,Singapore,2020-08-14,76
SGP,Singapore,2020-08-28,79
SGP,Singapore,2020-09-11,81
SGP,Singapore,2020-09-25,82
SWE,Sweden,2020-03-16,41
SWE,Sweden,2020-03-23,56
SWE,Sweden,2020-03-29,59
SWE,Sweden,2020-04-05,51
SWE,Sweden,2020-04-12,57
SWE,Sweden,2020-04-19,57
SWE,Sweden,2020-04-26,64
SWE,Sweden,2020-05-11,63
SWE,Sweden,2020-05-15,64
SWE,Sweden,2020-05-22,55
SWE,Sweden,2020-05-29,57
SWE,Sweden,2020-06-04,51
SWE,Sweden,2020-06-12,51
SWE,Sweden,2020-06-19,46
SWE,Sweden,2020-06-26,48
SWE,Sweden,2020-09-11,56
SWE,Sweden,2020-09-23,57
TWN,Taiwan,2020-05-12,90
TWN,Taiwan,2020-05-19,91
TWN,Taiwan,2020-05-26,92
TWN,Taiwan,2020-06-02,92
TWN,Taiwan,2020-06-09,89
TWN,Taiwan,2020-06-16,91
TWN,Taiwan,2020-06-23,88
TWN,Taiwan,2020-06-30,84
TWN,Taiwan,2020-07-20,86
TWN,Taiwan,2020-08-03,84
TWN,Taiwan,2020-08-17,84
TWN,Taiwan,2020-08-31,81
TWN,Taiwan,2020-09-14,81
TWN,Taiwan,2020-09-28,82
USA,United States,2020-03-17,46
USA,United States,2020-03-23,53
USA,United States,2020-03-30,51
USA,United States,2020-04-06,50
USA,United States,2020-04-13,49
USA,United States,2020-04-20,48
USA,United States,2020-04-27,47
USA,United States,2020-05-12,45
USA,United States,2020-05-19,43
USA,United States,2020-05-26,44
USA,United States,2020-06-02,41
USA,United States,2020-06-09,43
USA,United States,2020-06-16,42
USA,United States,2020-06-23,41
USA,United States,2020-06-30,38
USA,United States,2020-07-08,40
USA,United States,2020-07-13,38
USA,United States,2020-07-22,36
USA,United States,2020-07-28,37
USA,United States,2020-08-04,38
USA,United States,2020-08-11,39
USA,United States,2020-08-18,38
USA,United States,2020-09-28,36
VNM,Vietnam,2020-03-23,81
VNM,Vietnam,2020-03-30,93
VNM,Vietnam,2020-04-06,94
VNM,Vietnam,2020-04-13,95
VNM,Vietnam,2020-04-20,93
VNM,Vietnam,2020-04-27,98
VNM,Vietnam,2020-05-04,97
VNM,Vietnam,2020-05-12,97
VNM,Vietnam,2020-05-19,98
VNM,Vietnam,2020-05-26,97
VNM,Vietnam,2020-06-02,97
VNM,Vietnam,2020-06-09,97
VNM,Vietnam,2020-06-16,97
VNM,Vietnam,2020-06-23,97
VNM,Vietnam,2020-06-30,97
VNM,Vietnam,2020-07-20,92
VNM,Vietnam,2020-08-03,76
VNM,Vietnam,2020-08-17,89
VNM,Vietnam,2020-08-31,91
VNM,Vietnam,2020-09-14,92
VNM,Vietnam,2020-09-28,92
