iso_code,country,date,yougov_perceived_national_improvement
ITA,Italy,2020-05-15,85.0
ITA,Italy,2020-05-22,83.0
ITA,Italy,2020-05-29,87.0
ITA,Italy,2020-06-03,92.0
ITA,Italy,2020-06-10,90.0
ITA,Italy,2020-06-17,88.0
ITA,Italy,2020-06-24,88.0
ITA,Italy,2020-07-22,69.0
ITA,Italy,2020-07-29,39.0
ITA,Italy,2020-08-05,56.0
ITA,Italy,2020-08-12,48.0
ITA,Italy,2020-08-19,24.0
ITA,Italy,2020-09-22,30.0
ITA,Italy,2020-09-29,26.0
ITA,Italy,2020-10-06,16.0
ITA,Italy,2020-10-13,14.0
ITA,Italy,2020-10-20,12.0
ITA,Italy,2020-10-27,9.0
ITA,Italy,2020-11-03,8.0
ITA,Italy,2020-11-10,10.0
ITA,Italy,2020-11-17,27.0
ITA,Italy,2020-11-24,46.0
ITA,Italy,2020-12-01,42.0
ITA,Italy,2020-12-09,50.0
ITA,Italy,2020-12-14,33.0
ITA,Italy,2020-12-22,35.0
ITA,Italy,2021-01-05,30.0
ITA,Italy,2021-01-12,26.0
ITA,Italy,2021-01-19,42.0
ITA,Italy,2021-01-26,49.0
ITA,Italy,2021-02-02,58.0
ITA,Italy,2021-02-09,55.0
ITA,Italy,2021-02-16,34.0
ITA,Italy,2021-02-25,55.0
ITA,Italy,2021-03-02,22.0
ITA,Italy,2021-03-09,18.0
ITA,Italy,2021-03-16,17.0
ITA,Italy,2021-03-23,32.0
ITA,Italy,2021-03-30,38.0
ITA,Italy,2021-04-06,41.0
ITA,Italy,2021-04-13,49.0
ITA,Italy,2021-04-20,57.0
ITA,Italy,2021-04-27,61.0
ITA,Italy,2021-05-04,65.0
ITA,Italy,2021-05-18,86.0
ITA,Italy,2021-05-25,86.0
ITA,Italy,2021-06-01,89.0
ITA,Italy,2021-06-08,89.0
ITA,Italy,2021-06-15,85.0
ITA,Italy,2021-06-29,77.0
ITA,Italy,2021-07-06,74.0
ITA,Italy,2021-07-13,48.0
ITA,Italy,2021-07-20,37.0
ITA,Italy,2021-07-27,45.0
ITA,Italy,2021-08-03,36.0
ITA,Italy,2021-08-10,45.0
ITA,Italy,2021-08-17,49.0
ITA,Italy,2021-08-24,48.0
ITA,Italy,2021-08-31,48.0
ITA,Italy,2021-09-07,64.0
ITA,Italy,2021-09-14,65.0
ITA,Italy,2021-09-21,75.0
MEX,Mexico,2020-05-12,31.0
MEX,Mexico,2020-05-19,33.0
MEX,Mexico,2020-05-26,26.0
MEX,Mexico,2020-06-02,26.0
MEX,Mexico,2020-06-09,24.0
MEX,Mexico,2020-06-16,23.0
MEX,Mexico,2020-06-23,21.0
MEX,Mexico,2020-06-30,26.0
MYS,Malaysia,2020-05-11,87.0
MYS,Malaysia,2020-05-18,84.0
MYS,Malaysia,2020-05-25,85.0
MYS,Malaysia,2020-06-01,84.0
MYS,Malaysia,2020-06-08,92.0
MYS,Malaysia,2020-06-16,96.0
MYS,Malaysia,2020-06-22,96.0
MYS,Malaysia,2020-06-29,97.0
MYS,Malaysia,2020-07-13,96.0
MYS,Malaysia,2020-07-21,90.0
MYS,Malaysia,2020-07-27,59.0
MYS,Malaysia,2020-08-03,68.0
MYS,Malaysia,2020-08-10,61.0
MYS,Malaysia,2020-08-17,76.0
MYS,Malaysia,2020-08-24,71.0
MYS,Malaysia,2020-09-28,53.0
MYS,Malaysia,2020-10-12,22.0
MYS,Malaysia,2020-10-26,17.0
MYS,Malaysia,2020-11-09,22.0
MYS,Malaysia,2020-11-23,48.0
MYS,Malaysia,2020-12-07,37.0
MYS,Malaysia,2020-12-21,31.0
MYS,Malaysia,2021-01-04,21.0
MYS,Malaysia,2021-01-18,8.0
MYS,Malaysia,2021-02-01,9.0
MYS,Malaysia,2021-02-15,28.0
MYS,Malaysia,2021-03-01,58.0
MYS,Malaysia,2021-03-15,76.0
MYS,Malaysia,2021-03-29,72.0
MYS,Malaysia,2021-04-12,56.0
MYS,Malaysia,2021-04-26,21.0
MYS,Malaysia,2021-05-10,12.0
MYS,Malaysia,2021-05-24,7.0
MYS,Malaysia,2021-06-07,13.0
MYS,Malaysia,2021-06-21,26.0
MYS,Malaysia,2021-07-05,12.0
MYS,Malaysia,2021-07-19,8.0
MYS,Malaysia,2021-07-29,8.0
MYS,Malaysia,2021-08-12,9.0
MYS,Malaysia,2021-08-26,24.0
MYS,Malaysia,2021-09-13,43.0
NOR,Norway,2020-05-11,60.0
NOR,Norway,2020-05-15,58.0
NOR,Norway,2020-05-22,62.0
NOR,Norway,2020-05-29,67.0
NOR,Norway,2020-06-05,65.0
NOR,Norway,2020-06-12,65.0
NOR,Norway,2020-06-19,61.0
NOR,Norway,2020-06-26,51.0
NOR,Norway,2020-08-03,30.0
NOR,Norway,2020-08-17,15.0
NOR,Norway,2020-09-27,31.0
NOR,Norway,2020-10-11,31.0
NOR,Norway,2020-11-09,17.0
NOR,Norway,2020-11-22,34.0
NOR,Norway,2021-01-17,46.0
NOR,Norway,2021-02-01,40.0
NOR,Norway,2021-02-14,48.0
NOR,Norway,2021-02-28,50.0
NOR,Norway,2021-03-14,43.0
NOR,Norway,2021-03-29,40.0
NOR,Norway,2021-04-12,51.0
NOR,Norway,2021-05-10,72.0
NOR,Norway,2021-06-21,78.0
NOR,Norway,2021-07-05,70.0
NOR,Norway,2021-07-18,67.0
NOR,Norway,2021-08-16,57.0
NOR,Norway,2021-08-30,44.0
NOR,Norway,2021-09-13,61.0
PHL,Philippines,2020-05-11,40.0
PHL,Philippines,2020-05-18,48.0
PHL,Philippines,2020-05-25,32.0
PHL,Philippines,2020-06-01,33.0
PHL,Philippines,2020-06-08,32.0
PHL,Philippines,2020-06-15,30.0
PHL,Philippines,2020-06-22,27.0
PHL,Philippines,2020-06-29,23.0
PHL,Philippines,2020-07-13,18.0
PHL,Philippines,2020-07-21,22.0
PHL,Philippines,2020-07-27,16.0
PHL,Philippines,2020-08-03,26.0
PHL,Philippines,2020-08-10,13.0
PHL,Philippines,2020-08-17,23.0
PHL,Philippines,2020-08-24,19.0
PHL,Philippines,2020-09-28,45.0
PHL,Philippines,2020-10-12,51.0
PHL,Philippines,2020-11-09,60.0
PHL,Philippines,2020-11-23,62.0
PHL,Philippines,2020-12-07,64.0
PHL,Philippines,2020-12-21,58.0
PHL,Philippines,2021-01-04,50.0
PHL,Philippines,2021-01-18,43.0
PHL,Philippines,2021-02-01,47.0
PHL,Philippines,2021-02-15,56.0
PHL,Philippines,2021-03-01,56.0
PHL,Philippines,2021-03-15,48.0
PHL,Philippines,2021-03-29,28.0
PHL,Philippines,2021-04-12,26.0
PHL,Philippines,2021-04-26,35.0
PHL,Philippines,2021-05-10,42.0
PHL,Philippines,2021-05-24,48.0
PHL,Philippines,2021-06-07,47.0
PHL,Philippines,2021-06-21,52.0
PHL,Philippines,2021-07-06,58.0
PHL,Philippines,2021-07-19,58.0
PHL,Philippines,2021-07-29,40.0
PHL,Philippines,2021-08-12,29.0
PHL,Philippines,2021-08-26,31.0
PHL,Philippines,2021-09-13,27.0
POL,Poland,2020-05-12,41.0
POL,Poland,2020-05-19,51.0
POL,Poland,2020-05-26,51.0
POL,Poland,2020-06-02,56.0
POL,Poland,2020-06-09,45.0
POL,Poland,2020-06-16,37.0
POL,Poland,2020-06-23,34.0
POL,Poland,2020-06-30,40.0
SAU,Saudi Arabia,2020-05-11,60.0
SAU,Saudi Arabia,2020-05-18,59.0
SAU,Saudi Arabia,2020-05-25,68.0
SAU,Saudi Arabia,2020-06-01,79.0
SAU,Saudi Arabia,2020-06-08,65.0
SAU,Saudi Arabia,2020-06-15,41.0
SAU,Saudi Arabia,2020-06-22,49.0
SAU,Saudi Arabia,2020-06-29,69.0
SAU,Saudi Arabia,2020-07-27,81.0
SAU,Saudi Arabia,2020-08-10,85.0
SAU,Saudi Arabia,2020-08-17,87.0
SAU,Saudi Arabia,2020-09-30,81.0
SAU,Saudi Arabia,2020-10-07,88.0
SAU,Saudi Arabia,2020-10-14,86.0
SAU,Saudi Arabia,2020-11-02,81.0
SAU,Saudi Arabia,2020-11-09,77.0
SAU,Saudi Arabia,2020-11-17,82.0
SAU,Saudi Arabia,2020-11-30,87.0
SAU,Saudi Arabia,2020-12-16,80.0
SAU,Saudi Arabia,2020-12-23,89.0
SAU,Saudi Arabia,2021-01-10,91.0
SAU,Saudi Arabia,2021-02-01,82.0
SAU,Saudi Arabia,2021-02-08,52.0
SAU,Saudi Arabia,2021-02-21,73.0
SAU,Saudi Arabia,2021-03-07,82.0
SAU,Saudi Arabia,2021-03-16,88.0
SAU,Saudi Arabia,2021-05-10,80.0
SAU,Saudi Arabia,2021-05-24,82.0
SAU,Saudi Arabia,2021-05-31,78.0
SAU,Saudi Arabia,2021-06-16,83.0
SAU,Saudi Arabia,2021-07-13,84.0
SAU,Saudi Arabia,2021-08-02,82.0
SAU,Saudi Arabia,2021-08-10,85.0
SAU,Saudi Arabia,2021-08-22,88.0
SAU,Saudi Arabia,2021-09-27,90.0
SGP,Singapore,2020-05-08,58.0
SGP,Singapore,2020-05-15,69.0
SGP,Singapore,2020-05-22,80.0
SGP,Singapore,2020-05-29,76.0
SGP,Singapore,2020-06-05,78.0
SGP,Singapore,2020-06-12,77.0
SGP,Singapore,2020-06-19,82.0
SGP,Singapore,2020-06-26,81.0
SGP,Singapore,2020-07-10,49.0
SGP,Singapore,2020-07-20,50.0
SGP,Singapore,2020-07-27,57.0
SGP,Singapore,2020-08-03,62.0
SGP,Singapore,2020-08-10,66.0
SGP,Singapore,2020-08-17,76.0
SGP,Singapore,2020-08-24,80.0
SGP,Singapore,2020-09-25,83.0
SGP,Singapore,2020-10-09,84.0
SGP,Singapore,2020-11-09,89.0
SGP,Singapore,2020-11-20,90.0
SGP,Singapore,2020-12-04,83.0
SGP,Singapore,2020-12-18,90.0
SGP,Singapore,2021-01-04,78.0
SGP,Singapore,2021-01-15,76.0
SGP,Singapore,2021-01-29,73.0
SGP,Singapore,2021-02-12,77.0
SGP,Singapore,2021-02-26,83.0
SGP,Singapore,2021-03-12,86.0
SGP,Singapore,2021-03-26,92.0
SGP,Singapore,2021-04-09,88.0
SGP,Singapore,2021-04-23,67.0
SGP,Singapore,2021-05-07,32.0
SGP,Singapore,2021-05-21,15.0
SGP,Singapore,2021-06-04,43.0
SGP,Singapore,2021-06-18,51.0
SGP,Singapore,2021-07-02,75.0
SGP,Singapore,2021-07-16,52.0
SGP,Singapore,2021-07-29,40.0
SGP,Singapore,2021-08-12,66.0
SGP,Singapore,2021-08-26,53.0
SGP,Singapore,2021-09-10,24.0
SWE,Sweden,2020-05-11,46.0
SWE,Sweden,2020-05-15,53.0
SWE,Sweden,2020-05-22,57.0
SWE,Sweden,2020-05-29,52.0
SWE,Sweden,2020-06-05,57.0
SWE,Sweden,2020-06-12,53.0
SWE,Sweden,2020-06-19,50.0
SWE,Sweden,2020-06-26,47.0
SWE,Sweden,2020-08-08,68.0
SWE,Sweden,2020-08-17,57.0
SWE,Sweden,2020-08-24,55.0
SWE,Sweden,2020-09-23,62.0
SWE,Sweden,2020-10-09,30.0
SWE,Sweden,2020-11-03,12.0
SWE,Sweden,2020-11-20,11.0
SWE,Sweden,2021-01-15,22.0
SWE,Sweden,2021-02-01,48.0
SWE,Sweden,2021-02-12,38.0
SWE,Sweden,2021-02-26,23.0
SWE,Sweden,2021-03-12,39.0
SWE,Sweden,2021-03-24,31.0
SWE,Sweden,2021-04-08,26.0
SWE,Sweden,2021-05-07,53.0
SWE,Sweden,2021-06-02,74.0
SWE,Sweden,2021-06-18,71.0
SWE,Sweden,2021-06-30,78.0
SWE,Sweden,2021-07-16,74.0
SWE,Sweden,2021-08-13,46.0
SWE,Sweden,2021-08-25,43.0
SWE,Sweden,2021-09-08,53.0
THA,Thailand,2020-05-11,91.0
THA,Thailand,2020-05-18,93.0
THA,Thailand,2020-05-25,91.0
THA,Thailand,2020-06-01,91.0
THA,Thailand,2020-06-08,92.0
THA,Thailand,2020-06-15,95.0
THA,Thailand,2020-06-22,95.0
THA,Thailand,2020-06-29,93.0
THA,Thailand,2020-07-13,93.0
THA,Thailand,2020-07-21,60.0
THA,Thailand,2020-07-27,80.0
THA,Thailand,2020-08-03,86.0
THA,Thailand,2020-08-10,87.0
THA,Thailand,2020-08-17,89.0
THA,Thailand,2020-08-24,85.0
THA,Thailand,2020-09-28,84.0
THA,Thailand,2020-10-12,84.0
THA,Thailand,2020-10-26,84.0
THA,Thailand,2020-11-09,83.0
THA,Thailand,2020-11-23,86.0
THA,Thailand,2020-12-07,51.0
THA,Thailand,2020-12-21,40.0
THA,Thailand,2021-01-04,13.0
THA,Thailand,2021-01-18,26.0
THA,Thailand,2021-02-01,37.0
THA,Thailand,2021-02-16,56.0
THA,Thailand,2021-03-01,72.0
THA,Thailand,2021-03-15,77.0
THA,Thailand,2021-03-29,65.0
THA,Thailand,2021-04-12,15.0
THA,Thailand,2021-04-26,9.0
THA,Thailand,2021-05-10,13.0
THA,Thailand,2021-05-24,14.0
THA,Thailand,2021-06-07,19.0
THA,Thailand,2021-06-21,24.0
THA,Thailand,2021-07-05,8.0
THA,Thailand,2021-07-19,8.0
THA,Thailand,2021-07-29,6.0
THA,Thailand,2021-08-12,9.0
THA,Thailand,2021-08-26,19.0
THA,Thailand,2021-09-14,25.0
TWN,Taiwan,2020-05-12,90.0
TWN,Taiwan,2020-05-19,94.0
TWN,Taiwan,2020-05-26,94.0
TWN,Taiwan,2020-06-02,94.0
TWN,Taiwan,2020-06-09,93.0
TWN,Taiwan,2020-06-16,93.0
TWN,Taiwan,2020-06-23,91.0
TWN,Taiwan,2020-06-30,83.0
TWN,Taiwan,2020-07-13,86.0
TWN,Taiwan,2020-07-20,85.0
TWN,Taiwan,2020-07-27,85.0
TWN,Taiwan,2020-08-03,76.0
TWN,Taiwan,2020-08-10,54.0
TWN,Taiwan,2020-08-17,68.0
TWN,Taiwan,2020-08-24,62.0
TWN,Taiwan,2020-09-28,75.0
TWN,Taiwan,2020-10-12,70.0
TWN,Taiwan,2020-10-27,70.0
TWN,Taiwan,2020-11-24,74.0
TWN,Taiwan,2020-12-07,66.0
TWN,Taiwan,2020-12-21,63.0
TWN,Taiwan,2021-01-04,49.0
TWN,Taiwan,2021-01-18,49.0
TWN,Taiwan,2021-02-01,38.0
TWN,Taiwan,2021-02-16,61.0
TWN,Taiwan,2021-03-02,73.0
TWN,Taiwan,2021-03-22,79.0
TWN,Taiwan,2021-03-29,78.0
TWN,Taiwan,2021-04-12,77.0
TWN,Taiwan,2021-04-26,73.0
TWN,Taiwan,2021-05-10,46.0
TWN,Taiwan,2021-05-24,19.0
TWN,Taiwan,2021-06-07,17.0
TWN,Taiwan,2021-06-21,41.0
TWN,Taiwan,2021-07-05,45.0
TWN,Taiwan,2021-07-19,62.0
TWN,Taiwan,2021-07-29,68.0
TWN,Taiwan,2021-08-12,68.0
TWN,Taiwan,2021-08-26,75.0
TWN,Taiwan,2021-09-13,50.0
USA,United States,2020-05-12,44.0
USA,United States,2020-05-19,46.0
USA,United States,2020-05-26,51.0
USA,United States,2020-06-02,48.0
USA,United States,2020-06-09,53.0
USA,United States,2020-06-16,41.0
USA,United States,2020-06-23,40.0
USA,United States,2020-06-30,26.0
USA,United States,2020-08-03,25.0
USA,United States,2020-08-10,28.0
USA,United States,2020-08-17,30.0
USA,United States,2020-08-25,40.0
USA,United States,2020-09-08,43.0
USA,United States,2020-09-14,42.0
USA,United States,2020-09-21,42.0
USA,United States,2020-09-28,38.0
USA,United States,2020-10-06,33.0
USA,United States,2020-10-12,31.0
USA,United States,2020-10-19,28.0
USA,United States,2020-10-26,27.0
USA,United States,2020-11-02,26.0
USA,United States,2020-11-09,25.0
USA,United States,2020-11-16,16.0
USA,United States,2020-11-25,17.0
USA,United States,2020-12-02,20.0
USA,United States,2020-12-14,44.0
USA,United States,2020-12-22,23.0
USA,United States,2021-01-11,21.0
USA,United States,2021-01-20,26.0
USA,United States,2021-01-26,32.0
USA,United States,2021-02-03,36.0
USA,United States,2021-02-09,47.0
USA,United States,2021-02-17,59.0
USA,United States,2021-02-23,64.0
USA,United States,2021-03-01,67.0
USA,United States,2021-03-08,65.0
USA,United States,2021-03-16,75.0
USA,United States,2021-03-22,72.0
USA,United States,2021-03-31,63.0
USA,United States,2021-04-05,63.0
USA,United States,2021-04-12,59.0
USA,United States,2021-04-19,58.0
USA,United States,2021-05-02,70.0
USA,United States,2021-05-10,75.0
USA,United States,2021-05-18,80.0
USA,United States,2021-05-24,76.0
USA,United States,2021-05-31,80.0
USA,United States,2021-06-07,79.0
USA,United States,2021-06-14,78.0
USA,United States,2021-06-22,77.0
USA,United States,2021-07-07,69.0
USA,United States,2021-07-12,67.0
USA,United States,2021-07-19,51.0
USA,United States,2021-07-26,37.0
USA,United States,2021-08-02,29.0
USA,United States,2021-08-09,28.0
USA,United States,2021-08-13,23.0
VNM,Vietnam,2020-05-12,95.0
VNM,Vietnam,2020-05-19,96.0
VNM,Vietnam,2020-05-26,96.0
VNM,Vietnam,2020-06-02,99.0
VNM,Vietnam,2020-06-09,96.0
VNM,Vietnam,2020-06-16,97.0
VNM,Vietnam,2020-06-23,94.0
VNM,Vietnam,2020-06-30,95.0
VNM,Vietnam,2020-07-13,94.0
VNM,Vietnam,2020-07-21,93.0
VNM,Vietnam,2020-07-27,84.0
VNM,Vietnam,2020-08-03,30.0
VNM,Vietnam,2020-08-10,26.0
VNM,Vietnam,2020-08-17,36.0
VNM,Vietnam,2020-08-24,47.0
VNM,Vietnam,2020-09-28,93.0
VNM,Vietnam,2020-10-12,94.0
VNM,Vietnam,2020-10-26,95.0
VNM,Vietnam,2020-11-09,94.0
VNM,Vietnam,2020-11-23,93.0
VNM,Vietnam,2020-12-07,74.0
VNM,Vietnam,2020-12-21,92.0
VNM,Vietnam,2021-01-04,85.0
VNM,Vietnam,2021-01-18,93.0
VNM,Vietnam,2021-02-01,47.0
VNM,Vietnam,2021-02-15,64.0
VNM,Vietnam,2021-03-01,82.0
VNM,Vietnam,2021-03-15,92.0
VNM,Vietnam,2021-03-29,89.0
VNM,Vietnam,2021-04-13,94.0
VNM,Vietnam,2021-04-26,93.0
VNM,Vietnam,2021-05-10,45.0
VNM,Vietnam,2021-05-24,45.0
VNM,Vietnam,2021-06-07,49.0
VNM,Vietnam,2021-06-21,49.0
VNM,Vietnam,2021-07-05,45.0
VNM,Vietnam,2021-07-19,29.0
VNM,Vietnam,2021-07-29,33.0
VNM,Vietnam,2021-08-12,35.0
VNM,Vietnam,2021-08-26,32.0
VNM,Vietnam,2021-09-13,48.0
